CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODMU,MUNICIPIOS,CODPROV,PROVINCIAS,CODAUTO,COMUNIDADES,CODPOSTAL,NCAMAS,CODFI,FINALIDAD ASISITENCIAL,CODPAT,DEPENDENCIA PATRIMONIAL,CODFU,DEPENDENCIA FUNCIONAL,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,TAC,RM,GAM,HEM,ASD,LIT,BCO,ALI,SPECT,PET,MAMOS,DO,DIAL
081762,HESTIA GRÀCIA,"CR SECRETARI COLOMA, 95",934170400,934170400,932110065,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08024,153,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,hestiagracia@hestiagracia.org,0,0,0,0,0,0,0,0,0,0,0,0,0
081784,CENTRE SOCIOSANITARI D'ESPLUGUES,"VI AUGUSTA, 66-70",936406350,936406350,936520051,080771,Esplugues de Llobregat,08,BARCELONA,09,CATALUÑA,08950,131,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,jcayetano@sjdsse.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
081795,CENTRE SOCIOSANITARI RICARD FORTUNY,"AV GARRAF, 3",938172357,938172357,938904440,083054,Vilafranca del Penedès,08,BARCELONA,09,CATALUÑA,08720,187,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,cssv@cssv.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
081818,CENTRE RESIDENCIAL AMMA DIAGONAL,"CR LLACUNA, 120-122",933209630,933209630,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08018,5,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,direccion@diagonal.amavir.es,0,0,0,0,0,0,0,0,0,0,0,0,0
081829,CENTRE FÒRUM,"CR LLULL, 410",932483000,932483000,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08019,223,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,S,,N,cforum@parcdesalutmar.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
081830,CENTRE SOCIOSANITARI BLAUCLÍNIC DOLORS ALEU,"CR MARQUÈS DE SANTA ANNA, 9",934343216,934343216,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08023,174,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,msanchez@blauclinic.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
081841,PARC SANITARI SANT JOAN DE DÉU - TIL·LERS,"CR MOSSOS D'ESQUADRA, 3",935705289,935705289,935702648,081249,Mollet del Vallès,08,BARCELONA,09,CATALUÑA,08100,10,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,qualitatiseguretat@pssjd.org,0,0,0,0,0,0,0,0,0,0,0,0,0
081874,CLÍNICA GALATEA,"CR PALAFOLLS, 15-19",932057267,932057267,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08017,22,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,info@clinica-galatea.com,0,0,0,0,0,0,0,0,0,0,0,0,0
081885,HOSPITAL D'IGUALADA,"AV CATALUNYA, 11",938075500,938075500,938036915,081022,Igualada,08,BARCELONA,09,CATALUÑA,08700,280,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,fgcardona@csa.cat,1,1,0,0,0,0,0,0,0,0,1,0,22
081896,CENTRE SOCIAL I SANITARI FREDERICA MONTSENY,"CR ESLIDA, 6-8",936473525,936473525,932111428,083015,Viladecans,08,BARCELONA,09,CATALUÑA,08840,76,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,mgrifol@chc.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
081919,PARC SANITARI SANT JOAN DE DEU-SERVEIS SANITARIS CENTRE PENITENCIARI BRIANS-2,"CT MARTORELL A CAPELLADES, ,23",936935000,936935000,936935013,082080,Sant Esteve Sesrovires,08,BARCELONA,09,CATALUÑA,08635,152,1,GENERAL,6,COMUNIDAD AUTÓNOMA,3,INSTITUTO CATALÁN DE LA SALUD,N,N,N,,N,N,N,,N,justicia@gencat.net,0,0,0,0,0,0,0,0,0,0,0,0,0
081920,CENTRE INTEGRAL DE SERVEIS EN SALUT MENTAL COMUNITÀRIA,"CR VERNTALLAT, 11-19",932184908,932184908,934151375,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08024,25,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,cis@arapdis.org,0,0,0,0,0,0,0,0,0,0,0,0,0
081931,CENTRE SOCIOSANITARI SANT JORDI DE LA VALL D'HEBRON,"PS VALL D'HEBRON, 135-141",934280000,934280017,934284017,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08035,57,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,msanchez@blauclinic.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
081942,"LEPANT RESIDENCIAL QGG, SL","CR LEPANT, 401-403",934507438,934507438,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08025,10,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,andresmanero@hotmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0
081953,MAPFRE QUAVITAE BARCELONA,"CR SANT ANTONI MARIA CLARET, 200",934579400,,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08025,38,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,recepcion.claret@sarquavitae.es,0,0,0,0,0,0,0,0,0,0,0,0,0
081964,UNITAT POLIVALENT SALUT MENTAL BARCELONA-NORD,"AV JORDÀ, 8",934275250,934275250,934271078,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08035,52,6,PSIQUIÁTRICO,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,N,N,S,,N,jroman.merced@hospitalarias.es,0,0,0,0,0,0,0,0,0,0,0,0,0
081997,"CQM CLÍNIC MARESME, SL","CR LEPANT, 13-21",937556219,937556219,937904496,081213,Mataró,08,BARCELONA,09,CATALUÑA,08301,10,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,info@cqm-mataro.com,0,0,0,0,0,0,0,0,0,0,0,0,0
082001,SERVEIS SANITARIS LA ROCA DEL VALLES 2,"CT MASNOU A GRANOLLERS, ,13",932140100,932140100,932140179,081810,"Roca del Vallès, La",08,BARCELONA,09,CATALUÑA,08430,34,1,GENERAL,6,COMUNIDAD AUTÓNOMA,3,INSTITUTO CATALÁN DE LA SALUD,N,N,N,,N,N,N,,N,mpujolr@gencat.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
082012,CLÍNICA DEL VALLÈS,"PS RUBIÓ I ORS, 25-27",937283100,937283100,937283146,081878,Sabadell,08,BARCELONA,09,CATALUÑA,08203,107,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,Xhup,jmallofre@clinicavalles.com,1,1,0,0,0,0,0,0,0,0,2,1,0
082023,CENTRE GERONTOLÒGIC AMMA SANT CUGAT,"CR VICTOR HUGO, 10",935836100,935836100,935895725,082055,Sant Cugat del Vallès,08,BARCELONA,09,CATALUÑA,08174,4,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,direccion@santcugat.amma.es,0,0,0,0,0,0,0,0,0,0,0,0,0
082034,SERVEIS SANITARIS SANT JOAN DE VILATORRADA,"CT DE MANRESA A SOLSONA. CAMÍ DE LES TORRES, C-55",932140100,932140100,932140179,082188,Sant Joan de Vilatorrada,08,BARCELONA,09,CATALUÑA,08250,56,1,GENERAL,6,COMUNIDAD AUTÓNOMA,3,INSTITUTO CATALÁN DE LA SALUD,N,N,N,,N,N,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0
082045,CENTRE SOCIOSANITARI STAUROS,"PL KARL MARX, 1",931171074,931171074,935157429,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08042,49,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,stauros@centrestauros.org,0,0,0,0,0,0,0,0,0,0,0,0,0
082066,HOSPITAL DE SANT JOAN DESPÍ MOISÈS BROGGI,"AV JACINT VERDAGUER, 90",935531200,935531200,,082172,Sant Joan Despí,08,BARCELONA,09,CATALUÑA,08970,328,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,Xhup,carmen.gimeno@sanitatintegral.org,1,1,0,0,0,0,0,0,0,0,0,0,27
082099,AMMA HORTA,"AV CAN  MARCET, 11",934280092,934280092,934278466,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08035,5,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,recepcion@horta.amma.es,0,0,0,0,0,0,0,0,0,0,0,0,0
082112,UNITAT POLIVALENT BENITO MENNI EN SALUT MENTAL DE L'HOSPITALET-EL PRAT DE LLOBREGAT,"CR SANT RAFAEL, 11",936402400,936402400,,081017,"Hospitalet de Llobregat, L'",08,BARCELONA,09,CATALUÑA,08905,35,6,PSIQUIÁTRICO,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,N,N,N,,N,jorrit.hbmenni@hospitalarias.es,0,0,0,0,0,0,0,0,0,0,0,0,0
082134,ITA MARESME,"CR AVENIR, 14",933621258,933621258,933621259,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08006,56,14,OTROS MONOGRÁFICOS,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,snavarro@itacat.com,0,0,0,0,0,0,0,0,0,0,0,0,0
082145,CENTRE SOCIOSANITARI DEL CENTRE INTEGRAL DE SALUT COTXERES,"AV BORBÓ, 18-30",932438991,932438991,932438992,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08016,209,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,23,PRIVADO NO BENÉFICO,N,N,N,,n,N,S,,N,jserrat@consorci.org,0,0,0,0,0,0,0,0,0,0,0,0,0
082156,CLÍNICA SANT ANTONI,"CR SANT ELOI, 6-8",932974010,932974010,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08038,224,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,n,N,S,,N,provfig@ediho.es,0,0,0,0,0,0,0,0,0,0,0,0,0
082167,CLÍNICA DIAGONAL,"CR SANT MATEU, 24",932053213,932053213,932806280,080771,Esplugues de Llobregat,08,BARCELONA,09,CATALUÑA,08950,98,1,GENERAL,13,OTRO PRIVADO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,n,N,N,,N,info@clinicadiagonal.com,1,1,0,0,0,0,0,0,0,0,1,1,0
082178,HOSPITAL SOCIOSANITARI DE MOLLET,"CR SANT LLORENÇ, 39-41",935760300,935760300,935760320,081249,Mollet del Vallès,08,BARCELONA,09,CATALUÑA,08100,109,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,direcciogeneral@hospitalmollet.cat,1,0,0,0,0,0,0,0,0,0,0,0,0
082189,CENTRE SOCIOSANITARI ISABEL ROIG,"CR FERNANDO PESSOA, 47-51",931780667,931780667,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08030,251,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,cssisabelroig@blauclinic.cat,0,0,0,0,0,0,0,0,0,0,0,0,0
082190,IVÁN MAÑERO CLÍNIC,"CR VICTOR HUGO, 24",902401540,902401540,,082055,Sant Cugat del Vallès,08,BARCELONA,09,CATALUÑA,08174,17,2,QUIRÚRGICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,imclinic@imclinic.com,0,0,0,0,0,0,0,0,0,0,0,0,0
082202,INSTITUT TRASTORN LÍMIT,"CR PEDRO I PONS, 1",666301013,666301013,,082055,Sant Cugat del Vallès,08,BARCELONA,09,CATALUÑA,08195,14,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,cervantes.ana@hotmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0
082213,CENTRE D'HOSPITALITZACIÓ I HOSPITAL DE DIA TRASTORNS DE LA CONDUCTA,"CR CIRÉS, S/N",937533006,937533006,937533288,080095,Argentona,08,BARCELONA,09,CATALUÑA,08310,40,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,gfaus@itacat.com,0,0,0,0,0,0,0,0,0,0,0,0,0
082224,SARQUAVITAE BONANOVA,"CR CALATRAVA, 83",932534940,932534940,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08017,28,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,ldomingo@sarquavitae.es,0,0,0,0,0,0,0,0,0,0,0,0,0
082236,CENTRE LA CREUETA,"PL DE LES VAQUES, S/N",937451164,937451164,,081878,Sabadell,08,BARCELONA,09,CATALUÑA,08202,46,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,dcabre@mutuam.com,0,0,0,0,0,0,0,0,0,0,0,0,0
082246,UNITAT TERAPÈUTICA-EDUCATIVA ACOMPANYA'M,"CR JESÚS I MARIA, 18-20",932532100,932532100,,080193,Barcelona,08,BARCELONA,09,CATALUÑA,08022,30,6,PSIQUIÁTRICO,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,S,N,S,,N,mcastillo@jdhospitalbarcelona.com,0,0,0,0,0,0,0,0,0,0,0,0,0
090026,HOSPITAL FUENTE BERMEJA,"FRANCISCO SALINAS, S/N",947256236,947281800,947208341,090597,Burgos,09,BURGOS,07,CASTILLA Y LEÓN,09003,0,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,35,SANIDAD CASTILLA Y LEÓN-SACYL,N,N,S,090133,N,N,S,,S,gerente.cabu@saludcastillayleon.es,0,0,0,0,0,0,0,0,0,0,0,0,0
090047,HOSPITAL RECOLETAS DE BURGOS,"CRUZ ROJA, S/N",947244055,,947240424,090597,Burgos,09,BURGOS,07,CASTILLA Y LEÓN,09006,92,1,GENERAL,11,PRIVADO-BENÉFICO (CRUZ ROJA),23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,admision.hrb@gruporecoletas.com,1,0,0,0,0,0,0,0,0,0,0,0,0
090050,HOSPITAL SAN JUAN DE DIOS DE BURGOS,"Pº DE LA ISLA, 3",947257730,,947273009,090597,Burgos,09,BURGOS,07,CASTILLA Y LEÓN,09003,160,13,GERIATRÍA Y/O LARGA ESTANCIA,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,N,N,S,,S,burgos.hospital@hsjd.es,0,0,0,0,0,0,0,0,0,0,0,0,0
090079,HOSPITAL SANTOS REYES,"AV. RUPERTA BARAYA, 6",947522000,,947522012,090183,Aranda de Duero,09,BURGOS,07,CASTILLA Y LEÓN,09400,123,1,GENERAL,13,OTRO PRIVADO BENÉFICO,35,SANIDAD CASTILLA Y LEÓN-SACYL,N,N,N,,N,N,N,,N,gerente.hsry@saludcastillayleon.es,1,0,0,0,0,0,0,0,0,0,1,0,0
090085,HOSPITAL RESIDENCIA ASISTIDA DE LA LUZ,"DURATÓN, 2",947500150,,947507583,090183,Aranda de Duero,09,BURGOS,07,CASTILLA Y LEÓN,09400,75,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,gerencia@hralaluz.es,0,0,0,0,0,0,0,0,0,0,0,0,0
090098,HOSPITAL SANTIAGO APÓSTOL,"CTRA. DE ORÓN, S/N",947349000,,947349014,092194,Miranda de Ebro,09,BURGOS,07,CASTILLA Y LEÓN,09200,114,1,GENERAL,1,SEGURIDAD SOCIAL,35,SANIDAD CASTILLA Y LEÓN-SACYL,N,N,N,,N,N,N,,N,gerente.hsap@saludcastillayleon.es,1,0,0,0,0,0,0,0,0,0,2,0,12
090133,COMPLEJO ASISTENCIAL UNIVERSITARIO DE BURGOS,"AV. ISLAS BALEARES, 3",947281800,,947281829,090597,Burgos,09,BURGOS,07,CASTILLA Y LEÓN,09006,865,1,GENERAL,9,ENTIDADES PÚBLICAS,35,SANIDAD CASTILLA Y LEÓN-SACYL,S,S,N,,N,N,S,,N,gerente.cabu@saludcastillayleon.es,3,2,2,1,1,0,0,2,0,0,2,1,36
090155,HOSPITAL UNIVERSITARIO DE BURGOS,"ISLAS BALEARES, 3",947281800,,947281829,090597,Burgos,09,BURGOS,07,CASTILLA Y LEÓN,09006,0,1,GENERAL,15,OTRA DEPENDENCIA PATRIMONIAL,35,SANIDAD CASTILLA Y LEÓN-SACYL,S,N,S,090133,N,N,S,,N,gerente.cabu@saludcastillayleon.es,0,0,0,0,0,0,0,0,0,0,0,0,0
100015,HOSPITAL SAN PEDRO DE ALCÁNTARA,"AV. PABLO NARANJO, S/N",927256200,,927256202,100377,Cáceres,10,CÁCERES,11,EXTREMADURA,10003,0,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,N,S,100089,N,N,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0
100020,HOSPITAL PROVINCIAL NUESTRA SEÑORA DE LA MONTAÑA,"AV. DE ESPAÑA, S/N",927256800,,927256816,100377,Cáceres,10,CÁCERES,11,EXTREMADURA,10001,0,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,N,S,100089,N,N,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0
100041,HOSPITAL CIUDAD DE CORIA,"CERVANTES, 75",927149200,927149205,927501898,100670,Coria,10,CÁCERES,11,EXTREMADURA,10800,103,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,N,N,N,,N,N,N,,N,,1,0,0,0,0,0,0,0,0,0,1,0,0
100054,HOSPITAL CAMPO ARAÑUELO,"TOMÁS YUSTE MIRÓN, S/N",927548900,,927544808,101318,Navalmoral de la Mata,10,CÁCERES,11,EXTREMADURA,10300,102,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,N,N,,N,N,N,,N,,1,0,0,0,0,0,0,0,0,0,1,0,0
100067,HOSPITAL VIRGEN DEL PUERTO,"PARAJE VALCORCHERO, S/N",927428300,,927428324,101480,Plasencia,10,CÁCERES,11,EXTREMADURA,10600,250,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,N,N,,N,N,N,,N,gerent.hvpt@salud-juntaex.es,3,1,0,0,0,0,0,1,0,0,1,0,4
100073,HOSPITAL SOCIOSANITARIO DE PLASENCIA,"CTRA. DE CÁCERES, S/N",927428800,,927421836,101480,Plasencia,10,CÁCERES,11,EXTREMADURA,10600,330,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,N,N,,N,N,N,,N,montserrat.martinl@salud-juntaex.es,0,0,0,0,0,0,0,0,0,0,0,0,0
100089,COMPLEJO HOSPITALARIO DE CÁCERES,"AV.PABLO NARANJO, S/N",927256200,,927256202,100377,Cáceres,10,CÁCERES,11,EXTREMADURA,10003,520,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,S,N,,N,N,S,,N,,3,1,1,2,0,0,0,0,1,0,3,0,33
100092,HOSPITAL QUIRÓN SALUD DE CÁCERES,"AV. DE LA UNIVERSIDAD, 5",927181360,,927181362,100377,Cáceres,10,CÁCERES,11,EXTREMADURA,10004,35,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,arnaldo.pons@quironsalud.es,1,1,0,0,0,0,0,0,0,0,1,0,0
100106,CLÍNICA SOQUIMEX,"AVDA. LA SALLE, 22",927418484,,927424059,101480,Plasencia,10,CÁCERES,11,EXTREMADURA,10600,20,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,soquimex@soquimex.com,1,1,0,0,0,0,0,0,0,0,1,0,0
100113,"CLINICA QUIRÚRGICA CACEREÑA, S.A-(CLÍNICA SAN FRANCISCO)","RONDA DE SAN FRANCISCO, 1",927012200,,927012239,100377,Cáceres,10,CÁCERES,11,EXTREMADURA,10002,32,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,clinica@cqcsanfrancisco.es,1,2,0,1,0,1,0,0,0,0,1,0,0
110012,HOSPITAL UNIVERSITARIO PUERTA DEL MAR,"AV. ANA DE VIYA, 21",956002040,,956002220,110125,Cádiz,11,CÁDIZ,01,ANDALUCÍA,11009,738,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,S,S,N,,N,N,S,,N,gerencia.hpm.sspa@juntadeandalucia.es,5,2,4,2,1,1,0,2,0,1,2,1,30
110048,CLÍNICA LA SALUD,"FEDUCHY, 8-14",956225301,,956225193,110125,Cádiz,11,CÁDIZ,01,ANDALUCÍA,11001,58,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,administracion@clinicalasalud.es,1,0,0,1,0,0,0,0,0,0,1,1,0
110051,HOSPITAL SAN RAFAEL,"DIEGO ARIAS, 2",956017267,,956017390,110125,Cádiz,11,CÁDIZ,01,ANDALUCÍA,11002,280,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,cadiz.secretaria@jmpascual.com,1,1,0,0,0,0,0,0,0,0,1,0,0
110086,HOSPITAL  PUNTA DE EUROPA,"CTRA. DE GETARES, S/N",956025000,,956025057,110048,Algeciras,11,CÁDIZ,01,ANDALUCÍA,11207,0,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,S,N,S,110259,N,S,N,31/12/2018,N,franciscoj.martos.sspa@juntadeandalucia.es,0,0,0,0,0,0,0,0,0,0,0,0,0
110103,CLÍNICA  LOS ÁLAMOS,"AV. DE TAMARIX, 4",956182244,,956308811,110201,Jerez de la Frontera,11,CÁDIZ,01,ANDALUCÍA,11407,15,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,rrhh@clinicalosalamos.com,1,1,0,0,1,0,0,0,0,0,1,1,0
110110,HOSPITAL UNIVERSITARIO DE JEREZ DE LA FRONTERA,"RONDA DE CIRCUNVALACIÓN, S/N",956032075,,956032239,110201,Jerez de la Frontera,11,CÁDIZ,01,ANDALUCÍA,11408,498,1,GENERAL,1,SEGURIDAD SOCIAL,2,SERVICIO ANDALUZ DE SALUD,S,N,N,,N,N,N,,N,manuel.herrera.sspa@juntadeandalucia.es,2,1,0,1,0,0,0,1,0,0,1,2,25
110125,HOSPITAL SAN JUAN GRANDE,"GLORIETA FÉLIX RODRIGUEZ DE LA FUENTE, S/N",956357300,,956184802,110201,Jerez de la Frontera,11,CÁDIZ,01,ANDALUCÍA,11408,143,1,GENERAL,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,N,N,N,,S,jerez@sjd.es,2,1,0,0,0,0,0,0,0,0,1,1,0
110146,HOSPITAL  DE LA LÍNEA DE LA CONCEPCIÓN,"AV. MENÉNDEZ Y PELAYO, 103",956026500,,956026556,110223,"Línea de la Concepción, La",11,CÁDIZ,01,ANDALUCÍA,11300,180,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,N,N,N,,N,S,N,,N,franciscoj.martos.sspa@juntadeandalucia.es,1,0,0,0,0,0,0,0,0,0,1,0,0
110162,HOSPITAL GENERAL SANTA MARÍA DEL PUERTO,"VALDÉS, S/N",956017000,,956017084,110276,"Puerto de Santa María, El",11,CÁDIZ,01,ANDALUCÍA,11500,238,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,stamaria.secretaria@jmpascual.com,1,1,0,0,0,0,0,0,0,0,1,0,0
110184,HOSPITAL UNIVERSITARIO DE PUERTO REAL,"CARRETERA NACIONAL IV, KM. 665",956005147,,956005658,110282,Puerto Real,11,CÁDIZ,01,ANDALUCÍA,11510,319,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,S,N,N,,N,N,N,,N,,2,1,0,1,0,0,0,0,0,0,1,1,45
110218,HOSPITAL VIRGEN DE LAS MONTAÑAS,AV. AMBULATORIO S/N,956041000,,956041075,110414,Villamartín,11,CÁDIZ,01,ANDALUCÍA,11650,108,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,cesar@jmpascual.com,1,1,0,0,0,0,0,0,0,0,1,0,0
110223,HOSPITAL VIRGEN DEL CAMINO,"CRTRA SANLÚCAR-CHIPIONA, S/N",956048068,,956048058,110321,Sanlúcar de Barrameda,11,CÁDIZ,01,ANDALUCÍA,11540,118,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,sanlucar.secretaria@jmpascual.com,1,1,0,0,0,0,0,0,0,0,1,0,0
